a,op,b,answer
-24,/,76,-0.3157894736842105
-28,-,11,-39
44,/,35,1.2571428571428571
78,+,-32,46
28,-,-75,103
-44,/,69,-0.6376811594202898
23,*,5,115
99,*,38,3762
-62,/,-81,0.7654320987654321
-49,-,76,-125
-61,*,67,-4087
-48,/,4,-12.0
-9,*,-95,855
45,-,60,-15
0,-,-85,85
58,/,-59,-0.9830508474576272
-14,-,36,-50
49,-,-38,87
-95,-,-90,-5
-37,+,92,55
23,/,-60,-0.38333333333333336
5,-,99,-94
52,*,66,3432
71,/,97,0.7319587628865979
-83,*,8,-664
73,/,22,3.3181818181818183
-80,+,0,-80
76,*,4,304
-94,*,-95,8930
-26,-,-13,-13
80,*,50,4000
-87,-,-6,-81
89,-,54,35
0,/,38,0.0
-1,+,-3,-4
48,-,-76,124
-92,+,92,0
25,+,21,46
50,*,-94,-4700
-52,*,43,-2236
40,/,75,0.5333333333333333
8,/,52,0.15384615384615385
83,*,-40,-3320
60,*,29,1740
71,-,48,23
-51,-,-58,7
-40,*,-50,2000
-44,+,-24,-68
-92,/,-80,1.15
14,*,20,280
81,-,-78,159
85,/,44,1.9318181818181819
64,+,-11,53
-18,-,4,-22
42,-,-40,82
-94,/,-92,1.0217391304347827
-40,-,86,-126
43,-,-73,116
57,*,99,5643
1,+,-18,-17
-42,/,-32,1.3125
30,*,-69,-2070
32,-,27,5
38,/,-19,-2.0
51,*,53,2703
-34,/,89,-0.38202247191011235
67,+,-46,21
-13,/,79,-0.16455696202531644
-23,/,-6,3.8333333333333335
-62,*,-44,2728
-44,+,11,-33
-81,+,58,-23
47,-,29,18
-62,+,-35,-97
87,-,76,11
-28,-,93,-121
34,/,-35,-0.9714285714285714
22,/,-62,-0.3548387096774194
46,-,-14,60
-99,+,55,-44
1,*,-7,-7
-72,*,75,-5400
-64,-,-6,-58
6,*,34,204
-76,*,-6,456
-3,*,-21,63
-72,-,27,-99
-35,/,55,-0.6363636363636364
36,-,60,-24
-11,/,84,-0.13095238095238096
34,*,88,2992
-19,*,33,-627
86,*,-73,-6278
8,-,90,-82
15,-,17,-2
-5,+,67,62
-21,*,-36,756
-81,/,87,-0.9310344827586207
-65,*,-82,5330
-53,*,12,-636
25,-,-30,55
-53,*,-78,4134
69,+,87,156
-87,*,48,-4176
9,*,25,225
-58,-,75,-133
-38,-,-30,-8
-21,-,35,-56
-52,+,-56,-108
-29,+,-19,-48
56,/,-83,-0.6746987951807228
-87,/,85,-1.0235294117647058
82,+,-60,22
79,/,43,1.8372093023255813
-25,-,-84,59
64,+,12,76
66,+,32,98
-42,*,3,-126
-58,-,40,-98
55,*,-50,-2750
-11,-,-13,2
12,+,-66,-54
23,/,90,0.25555555555555554
92,*,-24,-2208
39,+,-42,-3
67,+,12,79
36,-,44,-8
-57,-,-19,-38
98,/,74,1.3243243243243243
34,/,48,0.7083333333333334
47,*,-79,-3713
48,*,-41,-1968
87,*,34,2958
14,*,62,868
22,+,-59,-37
30,/,-20,-1.5
-96,/,25,-3.84
-97,-,30,-127
-83,-,52,-135
-87,*,-68,5916
-46,-,73,-119
57,+,-72,-15
-87,-,-49,-38
11,-,-56,67
-18,*,-43,774
-23,/,35,-0.6571428571428571
-64,+,-46,-110
-85,*,11,-935
60,+,44,104
-70,-,37,-107
-6,/,-57,0.10526315789473684
-50,*,-3,150
-33,*,30,-990
2,/,28,0.07142857142857142
-14,+,72,58
64,-,-91,155
37,+,21,58
42,*,73,3066
-40,+,-52,-92
-58,-,-83,25
81,-,-99,180
-48,-,6,-54
-10,*,-47,470
-72,/,98,-0.7346938775510204
43,*,-84,-3612
-75,*,9,-675
52,/,-54,-0.9629629629629629
-4,+,34,30
-42,*,-79,3318
-62,+,65,3
40,-,58,-18
87,+,49,136
3,+,57,60
45,+,96,141
-12,*,-7,84
65,/,90,0.7222222222222222
-63,*,-59,3717
-40,/,-76,0.5263157894736842
-40,-,-83,43
8,*,-89,-712
-81,-,-61,-20
-63,/,-26,2.423076923076923
-49,-,-13,-36
-43,-,-73,30
-75,-,-45,-30
-87,-,-72,-15
40,/,-47,-0.851063829787234
-48,/,7,-6.857142857142857
-65,*,-45,2925
-9,+,46,37
-45,+,-52,-97
69,-,68,1
56,/,-13,-4.3076923076923075
60,/,54,1.1111111111111112
89,-,-8,97
-87,*,-10,870
52,+,-6,46
-54,+,12,-42
79,+,26,105
69,+,-16,53
-91,-,53,-144
-82,/,-1,82.0
8,+,13,21
-38,/,-79,0.4810126582278481
-50,/,-38,1.3157894736842106
-96,+,-86,-182
56,*,-33,-1848
87,+,61,148
-71,/,34,-2.088235294117647
-44,+,-29,-73
-95,-,95,-190
-30,/,76,-0.39473684210526316
74,-,4,70
84,/,28,3.0
79,-,25,54
87,/,-82,-1.0609756097560976
-61,-,-64,3
-51,*,53,-2703
67,*,-4,-268
-80,*,1,-80
31,*,53,1643
50,+,43,93
-39,/,9,-4.333333333333333
-65,-,41,-106
-42,/,62,-0.6774193548387096
-97,+,44,-53
5,-,-11,16
-42,-,12,-54
0,-,-34,34
-19,*,-59,1121
3,*,-95,-285
71,-,-80,151
-9,*,40,-360
64,*,-82,-5248
67,+,85,152
-29,-,-31,2
93,*,57,5301
62,*,-52,-3224
-51,*,56,-2856
-35,-,56,-91
23,/,43,0.5348837209302325
90,*,-29,-2610
-63,+,-81,-144
94,-,-99,193
78,*,-44,-3432
42,/,-62,-0.6774193548387096
61,*,97,5917
-79,/,-9,8.777777777777779
-25,+,-89,-114
4,/,-78,-0.05128205128205128
-70,+,18,-52
-93,*,89,-8277
10,-,49,-39
86,/,-51,-1.6862745098039216
79,*,-68,-5372
4,-,96,-92
-72,*,23,-1656
-45,+,49,4
-53,-,86,-139
-79,+,42,-37
50,+,-88,-38
51,*,94,4794
-49,*,-40,1960
23,+,53,76
-18,/,80,-0.225
56,/,46,1.2173913043478262
-15,-,-63,48
-64,/,80,-0.8
26,/,-95,-0.2736842105263158
62,*,82,5084
-76,/,-88,0.8636363636363636
85,/,90,0.9444444444444444
69,-,-91,160
60,+,-14,46
49,*,21,1029
65,/,19,3.4210526315789473
-23,-,-50,27
65,+,67,132
41,/,-61,-0.6721311475409836
88,+,-71,17
-12,+,-100,-112
-6,-,1,-7
82,-,-27,109
-55,-,-90,35
62,*,48,2976
-83,-,-77,-6
-75,+,-39,-114
-11,*,92,-1012
-77,+,-36,-113
-1,*,48,-48
-59,*,85,-5015
-98,*,0,0
63,-,-76,139
-1,+,-21,-22
13,/,-18,-0.7222222222222222
-96,/,33,-2.909090909090909
-36,*,10,-360
75,-,-32,107
77,+,-53,24
-46,*,82,-3772
24,*,73,1752
-73,-,9,-82
-25,+,29,4
41,/,89,0.4606741573033708
3,*,-68,-204
14,+,-6,8
-38,*,3,-114
-83,*,32,-2656
-89,/,-9,9.88888888888889
-39,+,22,-17
-6,-,1,-7
-33,*,-69,2277
21,+,-83,-62
-97,*,71,-6887
33,/,-15,-2.2
51,/,-82,-0.6219512195121951
-55,/,80,-0.6875
-79,-,-80,1
32,+,26,58
45,*,-12,-540
60,-,90,-30
48,+,-9,39
99,/,-74,-1.337837837837838
-26,*,37,-962
-65,-,32,-97
-31,/,-76,0.40789473684210525
1,+,-8,-7
-57,-,27,-84
29,/,-36,-0.8055555555555556
80,/,-28,-2.857142857142857
95,*,14,1330
99,/,-4,-24.75
-5,-,-65,60
-70,*,-72,5040
94,-,72,22
-93,/,69,-1.3478260869565217
-34,+,-84,-118
12,*,49,588
34,/,9,3.7777777777777777
82,/,83,0.9879518072289156
19,-,-100,119
93,-,-92,185
-94,/,56,-1.6785714285714286
-84,*,-99,8316
29,+,-28,1
-89,-,16,-105
-49,/,10,-4.9
48,*,-37,-1776
7,+,10,17
73,*,40,2920
-47,/,81,-0.5802469135802469
-35,/,58,-0.603448275862069
-17,*,6,-102
-5,*,-92,460
59,+,40,99
18,+,93,111
29,+,-91,-62
34,+,92,126
82,*,-69,-5658
97,+,5,102
17,-,-55,72
-54,-,-16,-38
39,/,33,1.1818181818181819
-20,+,-9,-29
-45,/,-4,11.25
-86,*,-16,1376
64,-,-7,71
-80,-,-62,-18
43,+,-71,-28
-60,-,80,-140
63,+,-40,23
-39,/,2,-19.5
-95,-,2,-97
87,-,-36,123
26,-,71,-45
30,/,-42,-0.7142857142857143
-37,*,5,-185
-69,/,45,-1.5333333333333334
92,*,35,3220
63,/,14,4.5
-88,+,44,-44
93,/,70,1.3285714285714285
1,-,-69,70
49,+,-24,25
70,/,51,1.3725490196078431
8,/,94,0.0851063829787234
-34,-,38,-72
-52,+,26,-26
60,/,-44,-1.3636363636363635
-88,+,54,-34
96,-,-44,140
-83,+,-42,-125
83,-,16,67
42,/,37,1.135135135135135
11,/,-71,-0.15492957746478872
-32,*,58,-1856
-46,/,57,-0.8070175438596491
-55,*,22,-1210
32,+,66,98
53,*,68,3604
-69,/,-75,0.92
-25,*,-56,1400
33,-,-56,89
73,-,-41,114
-89,*,81,-7209
97,*,15,1455
8,*,-63,-504
-12,+,29,17
-52,+,91,39
62,*,30,1860
23,-,49,-26
-17,/,-85,0.2
91,/,-24,-3.7916666666666665
57,-,-6,63
12,/,-68,-0.17647058823529413
37,/,-91,-0.4065934065934066
-92,-,-73,-19
48,*,22,1056
50,+,88,138
0,-,-75,75
-65,+,-58,-123
-33,+,48,15
-9,*,42,-378
40,/,41,0.975609756097561
45,+,-74,-29
-19,-,-5,-14
70,/,58,1.206896551724138
-74,/,41,-1.8048780487804879
73,*,-85,-6205
68,*,-37,-2516
-36,/,-60,0.6
12,+,8,20
-69,+,19,-50
-85,*,90,-7650
-78,-,-50,-28
90,*,2,180
0,*,-36,0
3,-,66,-63
42,/,99,0.42424242424242425
37,/,-47,-0.7872340425531915
50,-,-95,145
-65,/,65,-1.0
-9,/,2,-4.5
31,*,-50,-1550
49,+,76,125
-36,-,-23,-13
29,-,-49,78
12,+,-100,-88
44,*,72,3168
-23,+,-58,-81
-69,*,-23,1587
-34,*,-99,3366
88,+,-78,10
2,/,-28,-0.07142857142857142
29,+,93,122
-42,-,-14,-28
72,*,13,936
-75,-,-60,-15
-70,+,65,-5
98,*,-91,-8918
-48,/,-37,1.2972972972972974
49,/,-33,-1.4848484848484849
-19,*,18,-342
-75,*,27,-2025
-31,*,-9,279
53,-,-62,115
77,-,-20,97
-79,+,34,-45
-45,*,-43,1935
60,/,47,1.2765957446808511
84,-,40,44
-81,+,-37,-118
35,+,32,67
31,*,69,2139
-32,*,92,-2944
61,-,28,33
-18,*,-79,1422
-1,/,-38,0.02631578947368421
62,+,68,130
98,+,59,157
70,*,-11,-770
-51,*,66,-3366
-33,-,94,-127
-24,*,52,-1248
-25,*,-78,1950
-87,+,5,-82
50,/,44,1.1363636363636365
86,-,-58,144
-20,-,25,-45
48,*,88,4224
72,/,67,1.0746268656716418
96,*,8,768
12,*,75,900
53,/,26,2.0384615384615383
-35,-,48,-83
72,*,60,4320
78,-,-29,107
-30,*,-84,2520
57,-,34,23
64,-,61,3
48,+,-78,-30
19,/,52,0.36538461538461536
42,*,7,294
-17,/,-30,0.5666666666666667
8,*,-65,-520
-79,+,76,-3
61,*,-17,-1037
25,*,-2,-50
-11,+,58,47
93,-,78,15
15,*,-99,-1485
4,-,42,-38
74,/,-37,-2.0
44,/,-47,-0.9361702127659575
51,+,-78,-27
81,-,-48,129
-65,-,6,-71
74,+,31,105
-79,+,-78,-157
12,-,4,8
-6,/,44,-0.13636363636363635
-27,*,-6,162
-62,/,68,-0.9117647058823529
94,/,-64,-1.46875
-55,+,80,25
-62,-,-6,-56
69,-,-19,88
12,-,-64,76
-63,/,7,-9.0
84,*,5,420
82,*,-43,-3526
-71,+,28,-43
-96,*,-32,3072
96,/,-60,-1.6
6,+,-54,-48
-80,-,97,-177
-97,/,1,-97.0
-71,+,63,-8
-79,+,86,7
-78,-,85,-163
12,*,97,1164
62,+,-46,16
-11,/,15,-0.7333333333333333
-83,-,91,-174
-52,-,29,-81
5,+,20,25
36,/,82,0.43902439024390244
0,-,-40,40
-10,-,-47,37
60,-,55,5
-57,+,-55,-112
46,*,-51,-2346
-97,*,-48,4656
41,+,62,103
49,+,48,97
-62,*,-75,4650
-30,+,-2,-32
-100,+,-84,-184
90,-,67,23
-99,/,-33,3.0
-26,+,-63,-89
-88,/,71,-1.2394366197183098
-3,+,21,18
-45,+,19,-26
77,*,26,2002
49,*,65,3185
40,-,51,-11
-11,-,-48,37
95,*,35,3325
-45,+,-4,-49
5,+,-76,-71
56,+,-80,-24
84,/,79,1.0632911392405062
-83,-,-91,8
-62,*,7,-434
-56,*,-66,3696
62,+,40,102
-44,/,-56,0.7857142857142857
78,/,40,1.95
0,-,-21,21
-79,-,-31,-48
-31,*,-89,2759
-78,/,25,-3.12
54,+,-3,51
62,-,-58,120
-11,+,-61,-72
-35,*,-70,2450
-32,+,-41,-73
45,-,59,-14
39,*,78,3042
17,*,14,238
-5,*,-90,450
-35,*,31,-1085
87,/,93,0.9354838709677419
-55,-,63,-118
-71,*,-10,710
27,+,-15,12
-38,*,-2,76
93,*,-98,-9114
80,*,-28,-2240
-43,-,-65,22
59,+,-51,8
86,-,77,9
65,/,83,0.7831325301204819
-36,+,-35,-71
80,*,99,7920
-6,*,28,-168
-67,/,72,-0.9305555555555556
35,-,28,7
65,+,-42,23
-19,-,-94,75
25,/,-82,-0.3048780487804878
69,*,56,3864
-21,-,-58,37
42,-,62,-20
-22,/,36,-0.6111111111111112
20,-,89,-69
-28,-,9,-37
38,-,68,-30
28,/,-57,-0.49122807017543857
79,*,-68,-5372
-70,/,-49,1.4285714285714286
-82,*,-45,3690
91,*,5,455
-52,+,87,35
-74,/,42,-1.7619047619047619
48,*,10,480
-62,+,-73,-135
71,+,47,118
-9,/,31,-0.2903225806451613
-4,/,-52,0.07692307692307693
-76,*,43,-3268
-10,/,-68,0.14705882352941177
12,-,0,12
23,*,26,598
1,/,54,0.018518518518518517
71,*,98,6958
-63,/,34,-1.8529411764705883
95,*,-55,-5225
29,+,-65,-36
-67,+,-43,-110
85,+,-44,41
71,-,-26,97
22,/,3,7.333333333333333
38,/,-47,-0.8085106382978723
-1,/,-75,0.013333333333333334
-40,*,-62,2480
-92,-,69,-161
28,/,-18,-1.5555555555555556
-97,*,18,-1746
19,-,63,-44
-65,-,-85,20
-30,*,8,-240
-82,+,-68,-150
62,+,77,139
-45,-,-44,-1
-57,*,-18,1026
54,*,-20,-1080
39,*,-50,-1950
73,-,-84,157
-70,/,97,-0.7216494845360825
45,/,8,5.625
-34,-,-82,48
-13,/,72,-0.18055555555555555
67,+,-77,-10
16,/,27,0.5925925925925926
-26,-,1,-27
95,-,-14,109
31,*,0,0
-60,/,-6,10.0
15,/,-85,-0.17647058823529413
-28,+,-10,-38
59,+,-41,18
93,-,-50,143
74,-,53,21
93,*,-45,-4185
-26,-,26,-52
34,-,-37,71
-93,-,-52,-41
-35,+,10,-25
-65,-,-30,-35
74,/,-5,-14.8
99,-,93,6
-39,/,12,-3.25
61,+,17,78
-68,+,32,-36
-53,*,52,-2756
-82,/,76,-1.0789473684210527
72,/,57,1.263157894736842
-50,-,76,-126
0,*,-24,0
-83,-,-30,-53
55,-,32,23
66,/,93,0.7096774193548387
12,+,14,26
-1,+,-98,-99
53,*,-71,-3763
35,-,17,18
83,*,-21,-1743
-70,/,34,-2.0588235294117645
73,*,67,4891
-38,-,-36,-2
72,-,2,70
4,*,-26,-104
42,*,84,3528
10,+,-18,-8
-73,-,7,-80
77,+,-98,-21
-28,/,83,-0.3373493975903614
28,-,13,15
88,+,23,111
57,/,-90,-0.6333333333333333
-69,*,-88,6072
-70,+,5,-65
65,-,-31,96
86,/,-96,-0.8958333333333334
32,*,-29,-928
-36,*,-63,2268
97,+,-34,63
-47,+,24,-23
-68,*,-95,6460
-81,/,26,-3.1153846153846154
51,-,-22,73
-85,+,-4,-89
-58,-,60,-118
-33,+,-22,-55
-99,*,-91,9009
56,*,39,2184
-9,-,-13,4
-36,+,-94,-130
-89,-,-57,-32
17,+,-88,-71
-67,+,83,16
86,/,-97,-0.8865979381443299
-78,-,86,-164
-21,+,-1,-22
12,-,0,12
-65,/,19,-3.4210526315789473
30,+,31,61
18,+,-84,-66
-65,+,93,28
-81,+,73,-8
72,-,98,-26
-95,+,-54,-149
-72,+,26,-46
-47,/,-57,0.8245614035087719
20,/,-96,-0.20833333333333334
-15,/,60,-0.25
5,*,82,410
-67,-,73,-140
-78,/,70,-1.1142857142857143
-73,*,-11,803
0,-,27,-27
-82,/,50,-1.64
-67,*,-4,268
64,+,-83,-19
-7,*,-90,630
-13,*,39,-507
-46,-,23,-69
-17,*,27,-459
-1,*,-63,63
77,+,-25,52
-100,-,38,-138
25,*,-16,-400
16,/,62,0.25806451612903225
36,-,-92,128
69,+,-11,58
-73,*,-18,1314
-60,-,48,-108
42,/,99,0.42424242424242425
-21,/,81,-0.25925925925925924
61,*,-99,-6039
-87,/,84,-1.0357142857142858
-93,-,80,-173
-49,+,11,-38
-24,*,21,-504
81,*,86,6966
-33,-,-19,-14
13,*,12,156
-27,*,95,-2565
29,*,-44,-1276
-30,-,62,-92
7,/,-19,-0.3684210526315789
-6,*,-43,258
70,*,31,2170
-71,+,-48,-119
-47,*,-89,4183
-51,/,7,-7.285714285714286
20,/,97,0.20618556701030927
8,*,30,240
62,*,4,248
-75,+,-64,-139
36,-,-82,118
90,/,-43,-2.0930232558139537
-22,/,-73,0.3013698630136986
89,/,-35,-2.5428571428571427
-85,-,-88,3
37,-,-74,111
-35,-,-32,-3
-50,-,-73,23
21,-,-92,113
-12,-,51,-63
51,+,9,60
-10,-,-24,14
70,-,-41,111
-21,+,-65,-86
-13,*,-10,130
66,+,-39,27
-65,-,-46,-19
72,+,-40,32
50,-,-21,71
-41,*,38,-1558
79,-,92,-13
39,+,79,118
-40,/,-51,0.7843137254901961
-86,-,65,-151
65,*,-85,-5525
85,+,57,142
77,*,-68,-5236
-9,*,8,-72
48,-,21,27
0,/,-60,-0.0
85,*,56,4760
98,+,73,171
-79,-,-12,-67
-97,-,-88,-9
-47,*,4,-188
61,+,-82,-21
-80,*,-85,6800
-49,*,20,-980
38,*,-80,-3040
-66,/,-31,2.129032258064516
-4,+,-79,-83
30,+,-27,3
-51,*,76,-3876
-84,/,-72,1.1666666666666667
-95,+,-90,-185
73,-,43,30
64,-,-85,149
-3,-,-55,52
64,+,-91,-27
-66,-,-69,3
88,/,-56,-1.5714285714285714
-98,*,53,-5194
52,+,24,76
-20,/,-22,0.9090909090909091
-17,/,-18,0.9444444444444444
68,-,54,14
6,/,8,0.75
13,/,-32,-0.40625
49,+,98,147
-59,+,64,5
76,/,12,6.333333333333333
8,/,-87,-0.09195402298850575
51,/,68,0.75
59,*,14,826
-21,*,55,-1155
-94,+,-26,-120
0,+,-26,-26
-40,/,-7,5.714285714285714
-66,/,-95,0.6947368421052632
17,-,37,-20
50,*,-53,-2650
-60,+,68,8
55,*,-84,-4620
29,*,43,1247
43,*,42,1806
-4,-,-5,1
64,+,64,128
84,-,-38,122
-41,/,84,-0.4880952380952381
48,-,56,-8
74,+,10,84
-68,-,-40,-28
27,/,68,0.39705882352941174
-51,+,-81,-132
18,-,20,-2
-94,+,42,-52
-51,-,-34,-17
99,-,12,87
-69,*,-95,6555
-8,*,-78,624
-71,-,-36,-35
58,-,-80,138
-26,+,-43,-69
-66,-,25,-91
68,*,67,4556
-15,+,-79,-94
-65,+,-36,-101
-87,*,12,-1044
-77,-,-62,-15
-47,-,-5,-42
-13,*,87,-1131
-72,+,21,-51
-20,-,44,-64
21,+,12,33
-42,-,-48,6
79,*,-77,-6083
-33,+,-17,-50
81,-,-11,92
-63,-,-94,31
-4,-,-75,71
39,/,-44,-0.8863636363636364
-52,-,49,-101
19,+,-74,-55
-55,/,61,-0.9016393442622951
-67,*,-15,1005
-8,-,-11,3
28,+,-51,-23
-52,*,46,-2392
10,-,-92,102
-11,+,30,19
-57,+,9,-48
11,*,-95,-1045
-40,+,70,30
-33,+,-1,-34
84,+,-38,46
28,/,19,1.4736842105263157
-12,+,-56,-68
38,-,-37,75
-23,/,61,-0.3770491803278688
5,+,-38,-33
-31,*,51,-1581
86,/,-71,-1.2112676056338028
71,/,62,1.1451612903225807
32,/,73,0.4383561643835616
50,-,83,-33
-67,/,39,-1.7179487179487178
77,/,70,1.1
-69,+,-66,-135
-49,/,27,-1.8148148148148149
-97,*,60,-5820
97,-,62,35
-12,+,25,13
-44,/,-28,1.5714285714285714
33,-,-30,63
35,*,2,70
-28,+,-82,-110
-13,*,-94,1222
-90,/,-10,9.0
-19,*,92,-1748
-42,-,-92,50
-15,-,-10,-5
51,-,-69,120
-13,-,-98,85
-56,+,18,-38
-9,-,-37,28
30,*,86,2580
-3,/,89,-0.033707865168539325
-46,-,-90,44
-50,*,69,-3450
70,+,68,138
57,*,-31,-1767
32,-,-75,107
66,-,23,43
-35,*,-67,2345
5,-,74,-69
60,/,88,0.6818181818181818
-67,+,-69,-136
28,/,16,1.75
-84,*,83,-6972
-36,+,-4,-40
-79,*,94,-7426
40,+,42,82
-2,+,-42,-44
39,*,2,78
90,+,88,178
-15,/,-50,0.3
60,-,-55,115
-3,-,69,-72
-3,+,-90,-93
-30,-,63,-93
-47,*,9,-423
69,/,-49,-1.4081632653061225
-35,+,26,-9
4,-,-64,68
-44,-,17,-61
45,*,15,675
28,/,70,0.4
-14,*,19,-266
82,*,39,3198
-43,-,-99,56
69,*,-15,-1035
-91,/,-70,1.3
-80,*,-32,2560
-88,/,98,-0.8979591836734694
58,-,-93,151
38,-,32,6
86,+,-2,84
62,-,-83,145
-50,+,-24,-74
-53,-,18,-71
80,*,-21,-1680
-51,/,8,-6.375
6,+,78,84
39,*,-66,-2574
0,*,43,0
25,-,43,-18
54,/,50,1.08
-12,/,88,-0.13636363636363635
56,*,13,728
-5,/,44,-0.11363636363636363
-37,-,57,-94
-23,*,-73,1679
72,/,95,0.7578947368421053
-36,-,-18,-18
-81,-,45,-126
-99,/,20,-4.95
74,-,-39,113
-100,+,-61,-161
42,-,78,-36
86,+,36,122
72,+,-44,28
-20,-,40,-60
13,+,-99,-86
